Component Name,Licenses,Licenses Links,Package Type,Component Id,Package Id,Version,Concluded Licenses
3.24:zulu21-ca-jdk-headless,GPL-2.0-only,http://www.gnu.org/licenses/old-licenses/gpl-2.0-standalone.html,alpine,3.24:zulu21-ca-jdk-headless:21.0.11-r3,alpine://3.24:zulu21-ca-jdk-headless,21.0.11-r3,GPL-2.0-only
3.24:zulu21-ca-jre,GPL-2.0-only,http://www.gnu.org/licenses/old-licenses/gpl-2.0-standalone.html,alpine,3.24:zulu21-ca-jre:21.0.11-r3,alpine://3.24:zulu21-ca-jre,21.0.11-r3,GPL-2.0-only
3.24:zulu21-ca-jre-headless,GPL-2.0-only,http://www.gnu.org/licenses/old-licenses/gpl-2.0-standalone.html,alpine,3.24:zulu21-ca-jre-headless:21.0.11-r3,alpine://3.24:zulu21-ca-jre-headless,21.0.11-r3,GPL-2.0-only
3.24:zulu21-jdk,GPL-2.0-only,http://www.gnu.org/licenses/old-licenses/gpl-2.0-standalone.html,alpine,3.24:zulu21-jdk:21.0.11-r3,alpine://3.24:zulu21-jdk,21.0.11-r3,GPL-2.0-only
3.24:zulu21-jdk-headless,GPL-2.0-only,http://www.gnu.org/licenses/old-licenses/gpl-2.0-standalone.html,alpine,3.24:zulu21-jdk-headless:21.0.11-r3,alpine://3.24:zulu21-jdk-headless,21.0.11-r3,GPL-2.0-only
3.24:zulu21-jre,GPL-2.0-only,http://www.gnu.org/licenses/old-licenses/gpl-2.0-standalone.html,alpine,3.24:zulu21-jre:21.0.11-r3,alpine://3.24:zulu21-jre,21.0.11-r3,GPL-2.0-only
3.24:zulu21-jre-headless,GPL-2.0-only,http://www.gnu.org/licenses/old-licenses/gpl-2.0-standalone.html,alpine,3.24:zulu21-jre-headless:21.0.11-r3,alpine://3.24:zulu21-jre-headless,21.0.11-r3,GPL-2.0-only
ch.qos.logback:logback-classic,"EPL-2.0,LGPL-2.1","https://spdx.org/licenses/EPL-2.0,http://www.gnu.org/licenses/old-licenses/lgpl-2.1-standalone.html",maven,ch.qos.logback:logback-classic:1.5.34,gav://ch.qos.logback:logback-classic,1.5.34,"EPL-2.0,LGPL-2.1"
ch.qos.logback:logback-core,"EPL-2.0,LGPL-2.1","https://spdx.org/licenses/EPL-2.0,http://www.gnu.org/licenses/old-licenses/lgpl-2.1-standalone.html",maven,ch.qos.logback:logback-core:1.5.34,gav://ch.qos.logback:logback-core,1.5.34,"EPL-2.0,LGPL-2.1"
com.fasterxml.jackson.core:jackson-annotations,Apache-2.0,http://licenses.nuget.org/Apache-2.0,maven,com.fasterxml.jackson.core:jackson-annotations:2.21,gav://com.fasterxml.jackson.core:jackson-annotations,2.21,Apache-2.0
com.fasterxml.jackson.core:jackson-core,Apache-2.0,http://licenses.nuget.org/Apache-2.0,maven,com.fasterxml.jackson.core:jackson-core:2.21.4,gav://com.fasterxml.jackson.core:jackson-core,2.21.4,Apache-2.0
com.fasterxml.jackson.core:jackson-databind,Apache-2.0,http://licenses.nuget.org/Apache-2.0,maven,com.fasterxml.jackson.core:jackson-databind:2.21.4,gav://com.fasterxml.jackson.core:jackson-databind,2.21.4,Apache-2.0
com.fasterxml.jackson.datatype:jackson-datatype-jsr310,Apache-2.0,http://licenses.nuget.org/Apache-2.0,maven,com.fasterxml.jackson.datatype:jackson-datatype-jsr310:2.21.4,gav://com.fasterxml.jackson.datatype:jackson-datatype-jsr310,2.21.4,Apache-2.0
com.fasterxml:classmate,Apache-2.0,http://licenses.nuget.org/Apache-2.0,maven,com.fasterxml:classmate:1.7.3,gav://com.fasterxml:classmate,1.7.3,Apache-2.0
com.github.stephenc.jcip:jcip-annotations,Apache-2.0,http://licenses.nuget.org/Apache-2.0,maven,com.github.stephenc.jcip:jcip-annotations:1.0-1,gav://com.github.stephenc.jcip:jcip-annotations,1.0-1,Apache-2.0
com.google.code.findbugs:jsr305,"Apache-2.0,LGPL-2.1","http://licenses.nuget.org/Apache-2.0,http://www.gnu.org/licenses/old-licenses/lgpl-2.1-standalone.html",maven,com.google.code.findbugs:jsr305:3.0.2,gav://com.google.code.findbugs:jsr305,3.0.2,Apache-2.0
com.google.code.gson:gson,Apache-2.0,http://licenses.nuget.org/Apache-2.0,maven,com.google.code.gson:gson:2.12.1,gav://com.google.code.gson:gson,2.12.1,Apache-2.0
com.google.errorprone:error_prone_annotations,Apache-2.0,http://licenses.nuget.org/Apache-2.0,maven,com.google.errorprone:error_prone_annotations:2.41.0,gav://com.google.errorprone:error_prone_annotations,2.41.0,Apache-2.0
com.google.guava:failureaccess,Apache-2.0,http://licenses.nuget.org/Apache-2.0,maven,com.google.guava:failureaccess:1.0.3,gav://com.google.guava:failureaccess,1.0.3,Apache-2.0
com.google.guava:guava,Apache-2.0,http://licenses.nuget.org/Apache-2.0,maven,com.google.guava:guava:33.5.0-jre,gav://com.google.guava:guava,33.5.0-jre,Apache-2.0
com.google.guava:listenablefuture,Apache-2.0,http://licenses.nuget.org/Apache-2.0,maven,com.google.guava:listenablefuture:9999.0-empty-to-avoid-conflict-with-guava,gav://com.google.guava:listenablefuture,9999.0-empty-to-avoid-conflict-with-guava,Apache-2.0
com.google.j2objc:j2objc-annotations,Apache-2.0,http://licenses.nuget.org/Apache-2.0,maven,com.google.j2objc:j2objc-annotations:3.1,gav://com.google.j2objc:j2objc-annotations,3.1,Apache-2.0
com.googlecode.javaewah:JavaEWAH,Apache-2.0,http://licenses.nuget.org/Apache-2.0,maven,com.googlecode.javaewah:JavaEWAH:1.2.3,gav://com.googlecode.javaewah:JavaEWAH,1.2.3,Apache-2.0
com.h2database:h2,"EPL-1.0,MPL-2.0","http://www.eclipse.org/legal/epl-v10.html,http://opensource.org/licenses/MPL-2.0",maven,com.h2database:h2:2.4.240,gav://com.h2database:h2,2.4.240,"EPL-1.0,MPL-2.0"
com.nimbusds:nimbus-jose-jwt,Apache-2.0,http://licenses.nuget.org/Apache-2.0,maven,com.nimbusds:nimbus-jose-jwt:10.4,gav://com.nimbusds:nimbus-jose-jwt,10.4,Apache-2.0
com.sun.istack:istack-commons-runtime,BSD-3-Clause,http://opensource.org/licenses/BSD-3-Clause,maven,com.sun.istack:istack-commons-runtime:4.1.2,gav://com.sun.istack:istack-commons-runtime,4.1.2,BSD-3-Clause
com.sun.xml.messaging.saaj:saaj-impl,BSD-3-Clause,http://opensource.org/licenses/BSD-3-Clause,maven,com.sun.xml.messaging.saaj:saaj-impl:3.0.6,gav://com.sun.xml.messaging.saaj:saaj-impl,3.0.6,BSD-3-Clause
com.zaxxer:HikariCP,Apache-2.0,http://licenses.nuget.org/Apache-2.0,maven,com.zaxxer:HikariCP:7.0.2,gav://com.zaxxer:HikariCP,7.0.2,Apache-2.0
commons-beanutils:commons-beanutils,Apache-2.0,http://licenses.nuget.org/Apache-2.0,maven,commons-beanutils:commons-beanutils:1.11.0,gav://commons-beanutils:commons-beanutils,1.11.0,Apache-2.0
commons-codec:commons-codec,Apache-2.0,http://licenses.nuget.org/Apache-2.0,maven,commons-codec:commons-codec:1.19.0,gav://commons-codec:commons-codec,1.19.0,Apache-2.0
commons-collections:commons-collections,Apache-2.0,http://licenses.nuget.org/Apache-2.0,maven,commons-collections:commons-collections:3.2.2,gav://commons-collections:commons-collections,3.2.2,Apache-2.0
commons-io:commons-io,Apache-2.0,http://licenses.nuget.org/Apache-2.0,maven,commons-io:commons-io:2.22.0,gav://commons-io:commons-io,2.22.0,Apache-2.0
commons-logging:commons-logging,Apache-2.0,http://licenses.nuget.org/Apache-2.0,maven,commons-logging:commons-logging:1.3.6,gav://commons-logging:commons-logging,1.3.6,Apache-2.0
io.dropwizard.metrics:metrics-core,Apache-2.0,http://licenses.nuget.org/Apache-2.0,maven,io.dropwizard.metrics:metrics-core:4.2.26,gav://io.dropwizard.metrics:metrics-core,4.2.26,Apache-2.0
io.dropwizard.metrics:metrics-json,Apache-2.0,http://licenses.nuget.org/Apache-2.0,maven,io.dropwizard.metrics:metrics-json:4.2.26,gav://io.dropwizard.metrics:metrics-json,4.2.26,Apache-2.0
io.micrometer:micrometer-commons,Apache-2.0,http://licenses.nuget.org/Apache-2.0,maven,io.micrometer:micrometer-commons:1.16.6,gav://io.micrometer:micrometer-commons,1.16.6,Apache-2.0
io.micrometer:micrometer-core,Apache-2.0,http://licenses.nuget.org/Apache-2.0,maven,io.micrometer:micrometer-core:1.16.6,gav://io.micrometer:micrometer-core,1.16.6,Apache-2.0
io.micrometer:micrometer-jakarta9,Apache-2.0,http://licenses.nuget.org/Apache-2.0,maven,io.micrometer:micrometer-jakarta9:1.16.6,gav://io.micrometer:micrometer-jakarta9,1.16.6,Apache-2.0
io.micrometer:micrometer-observation,Apache-2.0,http://licenses.nuget.org/Apache-2.0,maven,io.micrometer:micrometer-observation:1.16.6,gav://io.micrometer:micrometer-observation,1.16.6,Apache-2.0
io.micrometer:micrometer-registry-prometheus,Apache-2.0,http://licenses.nuget.org/Apache-2.0,maven,io.micrometer:micrometer-registry-prometheus:1.16.5,gav://io.micrometer:micrometer-registry-prometheus,1.16.5,Apache-2.0
io.prometheus:prometheus-metrics-config,Apache-2.0,http://licenses.nuget.org/Apache-2.0,maven,io.prometheus:prometheus-metrics-config:1.4.3,gav://io.prometheus:prometheus-metrics-config,1.4.3,Apache-2.0
io.prometheus:prometheus-metrics-core,Apache-2.0,http://licenses.nuget.org/Apache-2.0,maven,io.prometheus:prometheus-metrics-core:1.4.3,gav://io.prometheus:prometheus-metrics-core,1.4.3,Apache-2.0
io.prometheus:prometheus-metrics-exposition-formats,Apache-2.0,http://licenses.nuget.org/Apache-2.0,maven,io.prometheus:prometheus-metrics-exposition-formats:1.4.3,gav://io.prometheus:prometheus-metrics-exposition-formats,1.4.3,Apache-2.0
io.prometheus:prometheus-metrics-exposition-textformats,Apache-2.0,http://licenses.nuget.org/Apache-2.0,maven,io.prometheus:prometheus-metrics-exposition-textformats:1.4.3,gav://io.prometheus:prometheus-metrics-exposition-textformats,1.4.3,Apache-2.0
io.prometheus:prometheus-metrics-model,Apache-2.0,http://licenses.nuget.org/Apache-2.0,maven,io.prometheus:prometheus-metrics-model:1.4.3,gav://io.prometheus:prometheus-metrics-model,1.4.3,Apache-2.0
io.prometheus:prometheus-metrics-tracer-common,Apache-2.0,http://licenses.nuget.org/Apache-2.0,maven,io.prometheus:prometheus-metrics-tracer-common:1.4.3,gav://io.prometheus:prometheus-metrics-tracer-common,1.4.3,Apache-2.0
jakarta.activation:jakarta.activation-api,BSD-3-Clause,http://opensource.org/licenses/BSD-3-Clause,maven,jakarta.activation:jakarta.activation-api:2.1.4,gav://jakarta.activation:jakarta.activation-api,2.1.4,BSD-3-Clause
jakarta.annotation:jakarta.annotation-api,"Classpath-exception-2.0,EPL-2.0,GPL-2.0","https://spdx.org/licenses/EPL-2.0,http://www.gnu.org/licenses/old-licenses/gpl-2.0-standalone.html",maven,jakarta.annotation:jakarta.annotation-api:3.0.0,gav://jakarta.annotation:jakarta.annotation-api,3.0.0,EPL-2.0
jakarta.inject:jakarta.inject-api,Apache-2.0,http://licenses.nuget.org/Apache-2.0,maven,jakarta.inject:jakarta.inject-api:2.0.1,gav://jakarta.inject:jakarta.inject-api,2.0.1,Apache-2.0
jakarta.mail:jakarta.mail-api,"BSD-3-Clause,EPL-1.0,EPL-2.0,GPL-2.0","http://opensource.org/licenses/BSD-3-Clause,http://www.eclipse.org/legal/epl-v10.html,https://spdx.org/licenses/EPL-2.0,http://www.gnu.org/licenses/old-licenses/gpl-2.0-standalone.html",maven,jakarta.mail:jakarta.mail-api:2.1.5,gav://jakarta.mail:jakarta.mail-api,2.1.5,BSD-3-Clause
jakarta.persistence:jakarta.persistence-api,"BSD-3-Clause,EPL-2.0","http://opensource.org/licenses/BSD-3-Clause,https://spdx.org/licenses/EPL-2.0",maven,jakarta.persistence:jakarta.persistence-api:3.2.0,gav://jakarta.persistence:jakarta.persistence-api,3.2.0,BSD-3-Clause
jakarta.transaction:jakarta.transaction-api,"Classpath-exception-2.0,EPL-2.0,GPL-2.0","https://spdx.org/licenses/EPL-2.0,http://www.gnu.org/licenses/old-licenses/gpl-2.0-standalone.html",maven,jakarta.transaction:jakarta.transaction-api:2.0.1,gav://jakarta.transaction:jakarta.transaction-api,2.0.1,EPL-2.0
jakarta.xml.bind:jakarta.xml.bind-api,BSD-3-Clause,http://opensource.org/licenses/BSD-3-Clause,maven,jakarta.xml.bind:jakarta.xml.bind-api:4.0.5,gav://jakarta.xml.bind:jakarta.xml.bind-api,4.0.5,BSD-3-Clause
jakarta.xml.soap:jakarta.xml.soap-api,BSD-3-Clause,http://opensource.org/licenses/BSD-3-Clause,maven,jakarta.xml.soap:jakarta.xml.soap-api:3.0.2,gav://jakarta.xml.soap:jakarta.xml.soap-api,3.0.2,BSD-3-Clause
jakarta.xml.ws:jakarta.xml.ws-api,BSD-3-Clause,http://opensource.org/licenses/BSD-3-Clause,maven,jakarta.xml.ws:jakarta.xml.ws-api:4.0.3,gav://jakarta.xml.ws:jakarta.xml.ws-api,4.0.3,BSD-3-Clause
javax.cache:cache-api,Apache-2.0,http://licenses.nuget.org/Apache-2.0,maven,javax.cache:cache-api:1.1.1,gav://javax.cache:cache-api,1.1.1,Apache-2.0
jrt-fs.jar,Unknown,,generic,jrt-fs.jar,generic://sha256:40a4f77b804da7339a88a1db8ae314ce627e57a03d9255410d1c6743072e55da/jrt-fs.jar,,Unknown
net.bytebuddy:byte-buddy,"Apache-2.0,BSD-3-Clause","http://licenses.nuget.org/Apache-2.0,http://opensource.org/licenses/BSD-3-Clause",maven,net.bytebuddy:byte-buddy:1.17.8,gav://net.bytebuddy:byte-buddy,1.17.8,"Apache-2.0,BSD-3-Clause"
net.shibboleth.utilities:java-support,Apache-2.0,http://licenses.nuget.org/Apache-2.0,maven,net.shibboleth.utilities:java-support:8.4.2,gav://net.shibboleth.utilities:java-support,8.4.2,Apache-2.0
net.shibboleth:shib-networking,Apache-2.0,http://licenses.nuget.org/Apache-2.0,maven,net.shibboleth:shib-networking:9.1.6,gav://net.shibboleth:shib-networking,9.1.6,Apache-2.0
net.shibboleth:shib-security,Apache-2.0,http://licenses.nuget.org/Apache-2.0,maven,net.shibboleth:shib-security:9.1.6,gav://net.shibboleth:shib-security,9.1.6,Apache-2.0
net.shibboleth:shib-support,Apache-2.0,http://licenses.nuget.org/Apache-2.0,maven,net.shibboleth:shib-support:9.1.6,gav://net.shibboleth:shib-support,9.1.6,Apache-2.0
net.shibboleth:shib-velocity,Apache-2.0,http://licenses.nuget.org/Apache-2.0,maven,net.shibboleth:shib-velocity:9.1.6,gav://net.shibboleth:shib-velocity,9.1.6,Apache-2.0
org.antlr:antlr4-runtime,"ANTLR-PD,BSD-3-Clause","http://www.antlr2.org/license.html,http://opensource.org/licenses/BSD-3-Clause",maven,org.antlr:antlr4-runtime:4.13.2,gav://org.antlr:antlr4-runtime,4.13.2,"ANTLR-PD,BSD-3-Clause"
org.apache.commons:commons-lang3,Apache-2.0,http://licenses.nuget.org/Apache-2.0,maven,org.apache.commons:commons-lang3:3.20.0,gav://org.apache.commons:commons-lang3,3.20.0,Apache-2.0
org.apache.commons:commons-text,Apache-2.0,http://licenses.nuget.org/Apache-2.0,maven,org.apache.commons:commons-text:1.15.0,gav://org.apache.commons:commons-text,1.15.0,Apache-2.0
org.apache.groovy:groovy,Apache-2.0,http://licenses.nuget.org/Apache-2.0,maven,org.apache.groovy:groovy:4.0.32,gav://org.apache.groovy:groovy,4.0.32,Apache-2.0
org.apache.groovy:groovy-jsr223,Apache-2.0,http://licenses.nuget.org/Apache-2.0,maven,org.apache.groovy:groovy-jsr223:4.0.32,gav://org.apache.groovy:groovy-jsr223,4.0.32,Apache-2.0
org.apache.httpcomponents.client5:httpclient5,Apache-2.0,http://licenses.nuget.org/Apache-2.0,maven,org.apache.httpcomponents.client5:httpclient5:5.5.2,gav://org.apache.httpcomponents.client5:httpclient5,5.5.2,Apache-2.0
org.apache.httpcomponents.client5:httpclient5-cache,Apache-2.0,http://licenses.nuget.org/Apache-2.0,maven,org.apache.httpcomponents.client5:httpclient5-cache:5.5.2,gav://org.apache.httpcomponents.client5:httpclient5-cache,5.5.2,Apache-2.0
org.apache.httpcomponents.core5:httpcore5,Apache-2.0,http://licenses.nuget.org/Apache-2.0,maven,org.apache.httpcomponents.core5:httpcore5:5.4.3,gav://org.apache.httpcomponents.core5:httpcore5,5.4.3,Apache-2.0
org.apache.httpcomponents.core5:httpcore5-h2,Apache-2.0,http://licenses.nuget.org/Apache-2.0,maven,org.apache.httpcomponents.core5:httpcore5-h2:5.4.3,gav://org.apache.httpcomponents.core5:httpcore5-h2,5.4.3,Apache-2.0
org.apache.logging.log4j:log4j-api,Apache-2.0,http://licenses.nuget.org/Apache-2.0,maven,org.apache.logging.log4j:log4j-api:2.25.4,gav://org.apache.logging.log4j:log4j-api,2.25.4,Apache-2.0
org.apache.logging.log4j:log4j-to-slf4j,Apache-2.0,http://licenses.nuget.org/Apache-2.0,maven,org.apache.logging.log4j:log4j-to-slf4j:2.25.4,gav://org.apache.logging.log4j:log4j-to-slf4j,2.25.4,Apache-2.0
org.apache.santuario:xmlsec,Apache-2.0,http://licenses.nuget.org/Apache-2.0,maven,org.apache.santuario:xmlsec:4.0.4,gav://org.apache.santuario:xmlsec,4.0.4,Apache-2.0
org.apache.sshd:sshd-osgi,Apache-2.0,http://licenses.nuget.org/Apache-2.0,maven,org.apache.sshd:sshd-osgi:2.17.1,gav://org.apache.sshd:sshd-osgi,2.17.1,Apache-2.0
org.apache.sshd:sshd-sftp,Apache-2.0,http://licenses.nuget.org/Apache-2.0,maven,org.apache.sshd:sshd-sftp:2.17.1,gav://org.apache.sshd:sshd-sftp,2.17.1,Apache-2.0
org.apache.tomcat.embed:tomcat-embed-core,"Apache-2.0,CDDL-1.0,EPL-2.0","http://licenses.nuget.org/Apache-2.0,http://www.opensource.org/licenses/cddl1,https://spdx.org/licenses/EPL-2.0",maven,org.apache.tomcat.embed:tomcat-embed-core:11.0.23,gav://org.apache.tomcat.embed:tomcat-embed-core,11.0.23,Apache-2.0
org.apache.tomcat.embed:tomcat-embed-el,Apache-2.0,http://licenses.nuget.org/Apache-2.0,maven,org.apache.tomcat.embed:tomcat-embed-el:11.0.23,gav://org.apache.tomcat.embed:tomcat-embed-el,11.0.23,Apache-2.0
org.apache.tomcat.embed:tomcat-embed-websocket,Apache-2.0,http://licenses.nuget.org/Apache-2.0,maven,org.apache.tomcat.embed:tomcat-embed-websocket:11.0.23,gav://org.apache.tomcat.embed:tomcat-embed-websocket,11.0.23,Apache-2.0
org.apache.tomcat:tomcat-annotations-api,Apache-2.0,http://licenses.nuget.org/Apache-2.0,maven,org.apache.tomcat:tomcat-annotations-api:11.0.22,gav://org.apache.tomcat:tomcat-annotations-api,11.0.22,Apache-2.0
org.apache.velocity:velocity-engine-core,Apache-2.0,http://licenses.nuget.org/Apache-2.0,maven,org.apache.velocity:velocity-engine-core:2.4.1,gav://org.apache.velocity:velocity-engine-core,2.4.1,Apache-2.0
org.apache.wss4j:wss4j-ws-security-common,Apache-2.0,http://licenses.nuget.org/Apache-2.0,maven,org.apache.wss4j:wss4j-ws-security-common:3.0.5,gav://org.apache.wss4j:wss4j-ws-security-common,3.0.5,Apache-2.0
org.apache.wss4j:wss4j-ws-security-dom,Apache-2.0,http://licenses.nuget.org/Apache-2.0,maven,org.apache.wss4j:wss4j-ws-security-dom:3.0.5,gav://org.apache.wss4j:wss4j-ws-security-dom,3.0.5,Apache-2.0
org.aspectj:aspectjweaver,"EPL-1.0,EPL-2.0","http://www.eclipse.org/legal/epl-v10.html,https://spdx.org/licenses/EPL-2.0",maven,org.aspectj:aspectjweaver:1.9.25.1,gav://org.aspectj:aspectjweaver,1.9.25.1,"EPL-1.0,EPL-2.0"
org.bouncycastle:bcpkix-jdk18on,MIT,http://www.opensource.org/licenses/MIT,maven,org.bouncycastle:bcpkix-jdk18on:1.84,gav://org.bouncycastle:bcpkix-jdk18on,1.84,MIT
org.bouncycastle:bcprov-jdk18on,MIT,http://www.opensource.org/licenses/MIT,maven,org.bouncycastle:bcprov-jdk18on:1.84,gav://org.bouncycastle:bcprov-jdk18on,1.84,MIT
org.bouncycastle:bcutil-jdk18on,MIT,http://www.opensource.org/licenses/MIT,maven,org.bouncycastle:bcutil-jdk18on:1.84,gav://org.bouncycastle:bcutil-jdk18on,1.84,MIT
org.cryptacular:cryptacular,"Apache-2.0,LGPL-2.1,LGPL-3.0","http://licenses.nuget.org/Apache-2.0,http://www.gnu.org/licenses/old-licenses/lgpl-2.1-standalone.html,http://www.gnu.org/licenses/lgpl-3.0-standalone.html",maven,org.cryptacular:cryptacular:1.2.6,gav://org.cryptacular:cryptacular,1.2.6,Apache-2.0
org.eclipse.angus:angus-activation,BSD-3-Clause,http://opensource.org/licenses/BSD-3-Clause,maven,org.eclipse.angus:angus-activation:2.0.3,gav://org.eclipse.angus:angus-activation,2.0.3,BSD-3-Clause
org.eclipse.jgit:org.eclipse.jgit,BSD-3-Clause,http://opensource.org/licenses/BSD-3-Clause,maven,org.eclipse.jgit:org.eclipse.jgit:7.6.0.202603022253-r,gav://org.eclipse.jgit:org.eclipse.jgit,7.6.0.202603022253-r,BSD-3-Clause
